donation_id,brand,clothing_type,most_dominant_fiber,dominant_fiber_verified,fiber_json,fs_bio_share,biodeg_score,biodeg_tier,source,country_of_brand,region,ncr_city,barangay,latitude,longitude,display_address,demand_index,weight_kg,donation_decision,decision_label,requested_at,processed_at
DNR-2BB4E649,penshoppe,dress,cotton,cotton,"{\"cotton\": 100.0}",100.0,92.0,high,philippine,PH,NCR,Pateros,San Pedro,14.541699421987603,121.085063895995560,"San Pedro, Pateros, NCR, Philippines",0.5876,0.233,accept,2,2026-02-25T03:49:15.826753,2026-02-25T13:18:53.177+08:00
DNR-BC766383,penshoppe,dress,polyester,polyester,"{\"polyester\": 65.0, \"cotton\": 35.0}",35.0,37.4,low,philippine,PH,NCR,Valenzuela,Karuhatan,14.704747285099517,120.983756615263860,"Karuhatan, Valenzuela, NCR, Philippines",0.7293,0.358,decline,0,2026-02-25T03:49:15.827282,2026-02-25T13:18:53.177+08:00
DNR-BC766383,penshoppe,dress,cotton,cotton,"{\"cotton\": 60.0, \"polyester\": 40.0}",60.0,58.4,medium,philippine,PH,NCR,Valenzuela,Karuhatan,14.704747285099517,120.983756615263860,"Karuhatan, Valenzuela, NCR, Philippines",0.7293,0.33,conditional,1,2026-02-25T03:49:15.827282,2026-02-25T13:18:53.177+08:00
DNR-BC766383,penshoppe,dress,polyester,polyester,"{\"polyester\": 100.0}",0.0,8.0,low,philippine,PH,NCR,Valenzuela,Karuhatan,14.704747285099517,120.983756615263860,"Karuhatan, Valenzuela, NCR, Philippines",0.7293,0.524,decline,0,2026-02-25T03:49:15.827282,2026-02-25T13:18:53.177+08:00
DNR-9CBD30FB,mango,t-shirt,cotton,cotton,"{\"cotton\": 100.0}",100.0,92.0,high,multinational,ES,NCR,Parañaque,BF Homes,14.516949680663542,120.988703409941370,"BF Homes, Parañaque, NCR, Philippines",0.6356,0.211,accept,2,2026-02-25T03:49:15.827750,2026-02-25T13:18:53.177+08:00
DNR-9CBD30FB,penshoppe,dress,polyester,polyester,"{\"polyester\": 65.0, \"cotton\": 35.0}",35.0,37.4,low,philippine,PH,NCR,Parañaque,BF Homes,14.516949680663542,120.988703409941370,"BF Homes, Parañaque, NCR, Philippines",0.6356,0.222,decline,0,2026-02-25T03:49:15.827750,2026-02-25T13:18:53.177+08:00
DNR-9CBD30FB,penshoppe,dress,cotton,cotton,"{\"cotton\": 60.0, \"polyester\": 40.0}",60.0,58.4,medium,philippine,PH,NCR,Parañaque,BF Homes,14.516949680663542,120.988703409941370,"BF Homes, Parañaque, NCR, Philippines",0.6356,0.49,conditional,1,2026-02-25T03:49:15.827750,2026-02-25T13:18:53.177+08:00
DNR-9CBD30FB,penshoppe,dress,polyester,polyester,"{\"polyester\": 65.0, \"cotton\": 35.0}",35.0,37.4,low,philippine,PH,NCR,Parañaque,BF Homes,14.516949680663542,120.988703409941370,"BF Homes, Parañaque, NCR, Philippines",0.6356,0.421,decline,0,2026-02-25T03:49:15.827750,2026-02-25T13:18:53.177+08:00
DNR-7490248D,penshoppe,dress,polyester,polyester,"{\"polyester\": 65.0, \"cotton\": 35.0}",35.0,37.4,low,philippine,PH,NCR,Pasig,Kapitolyo,14.553242898406493,121.099969201219750,"Kapitolyo, Pasig, NCR, Philippines",0.6838,0.472,decline,0,2026-02-25T03:49:15.828296,2026-02-25T13:18:53.177+08:00
DNR-A6775074,penshoppe,dress,cotton,cotton,"{\"cotton\": 60.0, \"polyester\": 40.0}",60.0,58.4,medium,philippine,PH,NCR,Las Piñas,Almanza Uno,14.479237250186351,120.958976288289350,"Almanza Uno, Las Piñas, NCR, Philippines",0.6665,0.439,conditional,1,2026-02-25T03:49:15.828652,2026-02-25T13:18:53.177+08:00
DNR-A6775074,penshoppe,dress,cotton,cotton,"{\"cotton\": 50.0, \"polyester\": 50.0}",50.0,50.0,medium,philippine,PH,NCR,Las Piñas,Almanza Uno,14.479237250186351,120.958976288289350,"Almanza Uno, Las Piñas, NCR, Philippines",0.6665,0.461,conditional,1,2026-02-25T03:49:15.828652,2026-02-25T13:18:53.177+08:00
