brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Penshoppe,Stamp Relaxed Graphic T-Shirt,dress,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-tops/products/stamp-relaxed-graphic-t-shirt-993401-white,2026-02-24T13:04:52.158583,live
Penshoppe,Penshoppe ❤️ Hello Kitty Twill Varsity Cap,dress,: Silicone Print Material: Fine Twill Material Composition: 100% Cotton Product Dimension SIZE Head Circumference Visor Length cm i,"{""cotton"": 100.0}",cotton,100.0,high,philippine,PH,https://www.penshoppe.com/products/penshoppe-hello-kitty-twill-varsity-cap-994303-blush,2026-02-24T13:04:54.334657,live
Penshoppe,Savage Slim Graphic T-Shirt,dress,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'9"" Chest: 33","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/savage-slim-graphic-t-shirt-993779-black,2026-02-24T13:04:59.561116,live
Penshoppe,Los Angeles Slim Raglan Graphic T-Shirt,dress,"ination, Flat Print Fabric: Interlock Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-tops/products/los-angeles-slim-raglan-graphic-t-shirt-992725-green,2026-02-24T13:05:01.374085,live
Penshoppe,Hustle Loose Mesh Polo,dress,"t Color Combination Fabric: Knit Mesh Material Composition: 100% Polyester Model's Body Measurements Height: 5'2"" Chest: 30"" Waist: 25","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/products/hustle-loose-mesh-polo-990112-off-white,2026-02-24T13:05:04.250196,live
Penshoppe,Sleeveless Peplum Top,dress,"tails: Sleeveless Fabric: Plain Weave Material Composition: 100% Cotton Model's Body Measurements Height: 5'9"" Chest: 33"" Waist: 26","{""cotton"": 100.0}",cotton,100.0,high,philippine,PH,https://www.penshoppe.com/products/sleeveless-peplum-top-991827-light-peach,2026-02-24T13:05:06.424140,live
Penshoppe,Leaves All-Over Print Relaxed T-Shirt,dress,"All-Over Print Fabric: Single Jersey Material Composition: 100% Polyester Model's Body Measurements Height: 5'5"" Chest: 32"" Waist: 25","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-tops/products/leaves-all-over-print-relaxed-t-shirt-994023-off-white,2026-02-24T13:05:09.242706,live
Penshoppe,Dress Code Sleeveless Striped Relaxed Top,dress,"ripes, Sleeveless Fabric: Plain Weave Material Composition: 97% Polyester 3% Spandex Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 97.0, ""elastane"": 3.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-tops/products/dress-code-sleeveless-striped-relaxed-top-992752-evening-sand,2026-02-24T13:05:11.281310,live
Penshoppe,Two-Fer Slim Top,dress,"ils: Two-Fer Detail Fabric: Interlock Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'2"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/two-fer-slim-top-991533-pink,2026-02-24T13:05:13.030673,live
Penshoppe,Automatic Striped Umbrella,dress,etails: Stripes Material: Plain Weave Material Composition: 100% Polyester Product Code 993067 Product color may slightly vary due to,"{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/products/automatic-striped-umbrella-993067-purple,2026-02-24T13:05:14.738861,live
Penshoppe,Striped Relaxed T-Shirt,dress,"y Fabric: Jersey Knit (Single Jersey) Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'2"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/striped-relaxed-t-shirt-993204-red,2026-02-24T13:05:16.518804,live
Penshoppe,Picnic Club Slim Textured Graphic Top,dress,": Graphic Print Fabric: Textured Knit Material Composition: 99% Polyester 1% Spandex Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 99.0, ""elastane"": 1.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-tops/products/picnic-club-slim-textured-graphic-top-992729-off-white,2026-02-24T13:05:21.369613,live
Penshoppe,Essentials Soft T-Shirt,dress,"ils: Embossed Print Fabric: Interlock Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'7"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/slim-fit-t-shirt-with-p-branding-987757-blush,2026-02-24T13:05:23.317418,live
Penshoppe,Penshoppe Athletics Slim Polo,dress,"w Panel, Embroidery Fabric: Interlock Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'9"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/penshoppe-athletics-slim-polo-992975-off-white,2026-02-24T13:05:25.802906,live
Penshoppe,Classic Cap,dress,: Graphic Print Material: Plain Weave Material Composition: 72% Nylon 28% Polyester Product Dimension SIZE Head Circumference Vis,"{""nylon"": 72.0, ""polyester"": 28.0}",nylon,0.0,low,philippine,PH,https://www.penshoppe.com/products/classic-cap-991530-sage-green,2026-02-24T13:05:32.069029,live
Penshoppe,Maxi Tiered Skirt,dress,Elastic Waistband Fabric: Plain Weave Material Composition: 100% Viscose Waist Height: High Waist Model's Body Measurements Height:,"{""viscose"": 100.0}",viscose,100.0,high,philippine,PH,https://www.penshoppe.com/products/maxi-tiered-skirt-992955-off-white,2026-02-24T13:05:36.461930,live
Penshoppe,Slim Ribbed Knit Wrap Top,dress,tails: Wrap Front Fabric: Ribbed Knit Material Composition: 46% Cotton 46% Viscose 8% Elastane Model's Body Measurements Height: 5,"{""cotton"": 46.0, ""viscose"": 46.0, ""elastane"": 8.0}",cotton,92.0,high,philippine,PH,https://www.penshoppe.com/collections/womens-fashion-tops/products/slim-ribbed-knit-wrap-top-990885-pink,2026-02-24T13:05:40.458987,live
Penshoppe,Essentials Textured Slim Top,dress,"hlights Fit: Slim Fabric: Ribbed Knit Material Composition: 95% Polyester 5% Spandex Model's Body Measurements Height: 5'7"" Chest: 34","{""polyester"": 95.0, ""elastane"": 5.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-fashion-tops/products/ribbed-knit-slim-fit-top-988633-off-white,2026-02-24T13:05:42.554462,live
Penshoppe,Heart All-Over Print Relaxed T-Shirt,dress,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'9"" Chest: 33","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-fashion-tops/products/heart-all-over-print-relaxed-t-shirt-990715-pink,2026-02-24T13:05:44.337841,live
Penshoppe,Plaid Regular Fit Jacquard Knit Top,dress,"All-Over Print Fabric: Jacquard Knit Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'9"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/collections/womens-fashion-tops/products/plaid-regular-fit-jacquard-knit-top-988396-dusk-pink,2026-02-24T13:05:48.162180,live
Penshoppe,Floral Henley All-Over Print Top,dress,"ils: All-Over Print Fabric: Interlock Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'6"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/collections/womens-fashion-tops/products/floral-henley-all-over-print-top-990106-white,2026-02-24T13:05:50.207934,live
Penshoppe,Oxford Cargo Skort,dress,"ls: Cargo Pockets Fabric: Plain Weave Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'9"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/oxford-cargo-skort-992100-light-blue,2026-02-24T13:05:57.805084,live
Penshoppe,Stripes Cropped Short Sleeve Button Down Top,dress,"Cropped Fabric: Plain Weave (Poplin) Material Composition: 100% Cotton Model's Body Measurements Height: 5'6"" Chest: 34"" Waist: 25","{""cotton"": 100.0}",cotton,100.0,high,philippine,PH,https://www.penshoppe.com/collections/womens-shirts-and-blouses/products/stripes-cropped-short-sleeve-button-down-top-989631-berry,2026-02-24T13:06:15.846255,live
Penshoppe,Dress Code Loose Shirt,dress,"ails: Button Down Fabric: Plain Weave Material Composition: 75% Viscose 25% Polyester Model's Body Measurements Height: 5'3"" Chest:","{""viscose"": 75.0, ""polyester"": 25.0}",viscose,75.0,medium,philippine,PH,https://www.penshoppe.com/collections/womens-shirts-and-blouses/products/dress-code-loose-shirt-988159-pink,2026-02-24T13:06:17.720253,live
Penshoppe,Relaxed Shirt,dress,"s Fit: Relaxed Fabric: Textured Weave Material Composition: 98% Polyester 2% Spandex Model's Body Measurements Height: 5'9"" Chest: 33","{""polyester"": 98.0, ""elastane"": 2.0}",polyester,0.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-shirts-and-blouses/products/relaxed-shirt-993282-red,2026-02-24T13:06:25.979920,live
