iter	Passed	Remaining
0	5	3194
1	14	4494
2	22	4476
3	26	4060
4	32	3998
5	41	4191
6	49	4268
7	59	4448
8	67	4488
9	74	4451
10	81	4459
11	90	4531
12	99	4581
13	108	4633
14	116	4643
15	125	4683
16	132	4642
17	140	4636
18	147	4606
19	151	4487
20	158	4466
21	165	4435
22	175	4488
23	183	4492
24	191	4495
25	200	4521
26	210	4549
27	219	4564
28	226	4555
29	236	4582
30	245	4597
31	254	4610
32	264	4638
33	270	4587
34	278	4587
35	287	4590
36	296	4597
37	302	4568
38	311	4563
39	319	4558
40	325	4527
41	333	4521
42	345	4565
43	355	4583
44	365	4596
45	379	4661
46	389	4670
47	396	4652
48	405	4651
49	416	4676
50	423	4645
51	430	4626
52	438	4620
53	446	4606
54	454	4591
55	460	4564
56	466	4538
57	474	4523
58	482	4513
59	487	4479
60	495	4470
61	503	4460
62	511	4451
63	519	4444
64	528	4441
65	538	4447
66	546	4433
67	559	4466
68	570	4485
69	580	4485
70	588	4479
71	595	4458
72	604	4458
73	612	4446
74	622	4445
75	629	4432
76	639	4432
77	647	4421
78	655	4417
79	664	4409
80	672	4403
81	680	4387
82	688	4379
83	697	4373
84	705	4365
85	714	4364
86	722	4350
87	728	4331
88	738	4330
89	747	4326
90	756	4320
91	764	4310
92	774	4311
93	781	4296
94	790	4292
95	797	4279
96	806	4275
97	816	4275
98	825	4267
99	831	4250
100	840	4243
101	849	4240
102	856	4226
103	863	4209
104	871	4202
105	879	4187
106	886	4174
107	894	4163
108	901	4151
109	909	4141
110	917	4131
111	923	4114
112	931	4107
113	937	4088
114	945	4077
115	954	4071
116	962	4063
117	970	4056
118	976	4039
119	986	4035
120	993	4025
121	1003	4021
122	1011	4014
123	1029	4043
124	1037	4034
125	1046	4028
126	1054	4019
127	1062	4009
128	1068	3991
129	1076	3984
130	1085	3976
131	1094	3970
132	1100	3955
133	1107	3943
134	1115	3932
135	1122	3920
136	1130	3909
137	1137	3899
138	1149	3904
139	1157	3895
140	1166	3888
141	1175	3882
142	1185	3878
143	1192	3868
144	1200	3859
145	1208	3848
146	1215	3836
147	1223	3826
148	1233	3823
149	1240	3811
150	1247	3800
151	1253	3785
152	1261	3775
153	1269	3766
154	1277	3759
155	1285	3750
156	1293	3739
157	1300	3728
158	1308	3720
159	1315	3706
160	1323	3698
161	1332	3692
162	1341	3686
163	1347	3674
164	1354	3662
165	1359	3644
166	1367	3636
167	1374	3623
168	1382	3615
169	1391	3609
170	1398	3599
171	1407	3593
172	1415	3583
173	1423	3574
174	1432	3567
175	1441	3561
176	1448	3551
177	1456	3544
178	1465	3537
179	1473	3527
180	1479	3515
181	1487	3506
182	1496	3499
183	1503	3488
184	1510	3478
185	1517	3467
186	1525	3459
187	1532	3448
188	1540	3440
189	1549	3434
190	1559	3429
191	1573	3433
192	1580	3423
193	1589	3417
194	1597	3408
195	1607	3402
196	1612	3388
197	1621	3381
198	1628	3371
199	1635	3361
200	1642	3349
201	1650	3341
202	1658	3332
203	1667	3326
204	1676	3319
205	1684	3311
206	1692	3302
207	1699	3292
208	1707	3283
209	1715	3276
210	1723	3266
211	1731	3258
212	1737	3246
213	1747	3241
214	1755	3232
215	1762	3222
216	1770	3213
217	1777	3205
218	1785	3195
219	1792	3185
220	1800	3176
221	1807	3167
222	1816	3159
223	1824	3151
224	1831	3141
225	1839	3134
226	1848	3127
227	1855	3117
228	1866	3112
229	1873	3103
230	1881	3094
231	1888	3085
232	1897	3078
233	1906	3070
234	1914	3063
235	1923	3055
236	1930	3047
237	1939	3039
238	1946	3029
239	1953	3019
240	1959	3008
241	1967	2999
242	1973	2988
243	1980	2979
244	1992	2976
245	1999	2966
246	2007	2958
247	2014	2948
248	2020	2937
249	2028	2929
250	2037	2922
251	2046	2915
252	2053	2906
253	2062	2898
254	2069	2888
255	2076	2879
256	2084	2871
257	2092	2863
258	2099	2853
259	2108	2846
260	2116	2838
261	2123	2829
262	2130	2819
263	2138	2810
264	2147	2803
265	2156	2796
266	2164	2788
267	2171	2779
268	2178	2770
269	2187	2762
270	2194	2752
271	2201	2744
272	2212	2739
273	2221	2732
274	2230	2725
275	2237	2716
276	2244	2706
277	2252	2698
278	2260	2689
279	2269	2682
280	2277	2674
281	2285	2666
282	2294	2659
283	2302	2651
284	2311	2643
285	2318	2634
286	2324	2624
287	2332	2615
288	2339	2606
289	2346	2597
290	2355	2589
291	2360	2579
292	2367	2569
293	2373	2559
294	2381	2550
295	2388	2541
296	2397	2534
297	2405	2526
298	2412	2517
299	2419	2507
300	2425	2498
301	2434	2490
302	2440	2481
303	2448	2472
304	2456	2465
305	2464	2456
306	2471	2447
307	2479	2439
308	2486	2430
309	2494	2421
310	2500	2412
311	2506	2402
312	2515	2394
313	2521	2384
314	2528	2375
315	2536	2367
316	2544	2360
317	2551	2350
318	2558	2342
319	2567	2335
320	2574	2325
321	2582	2318
322	2589	2309
323	2597	2301
324	2605	2292
325	2612	2283
326	2619	2274
327	2627	2267
328	2633	2257
329	2640	2248
330	2648	2240
331	2657	2232
332	2662	2222
333	2670	2214
334	2679	2207
335	2688	2200
336	2695	2191
337	2703	2183
338	2711	2175
339	2720	2168
340	2727	2159
341	2735	2151
342	2743	2143
343	2749	2134
344	2756	2125
345	2765	2117
346	2773	2110
347	2782	2102
348	2790	2095
349	2798	2086
350	2805	2078
351	2812	2069
352	2820	2061
353	2828	2053
354	2837	2045
355	2845	2038
356	2853	2030
357	2862	2022
358	2869	2014
359	2876	2005
360	2886	1998
361	2895	1991
362	2902	1983
363	2910	1975
364	2919	1967
365	2927	1959
366	2935	1951
367	2942	1943
368	2950	1934
369	2957	1926
370	2964	1918
371	2973	1910
372	2980	1901
373	2990	1894
374	2998	1886
375	3005	1878
376	3012	1869
377	3020	1861
378	3028	1853
379	3036	1845
380	3044	1837
381	3052	1829
382	3059	1821
383	3067	1813
384	3076	1805
385	3084	1798
386	3094	1791
387	3102	1783
388	3111	1775
389	3119	1767
390	3126	1759
391	3135	1751
392	3144	1744
393	3151	1735
394	3156	1725
395	3163	1717
396	3173	1710
397	3179	1701
398	3187	1693
399	3195	1685
400	3202	1676
401	3211	1669
402	3218	1661
403	3224	1652
404	3232	1644
405	3241	1636
406	3248	1628
407	3255	1619
408	3262	1611
409	3269	1602
410	3277	1594
411	3285	1586
412	3293	1579
413	3301	1570
414	3311	1563
415	3317	1555
416	3324	1546
417	3334	1539
418	3341	1530
419	3349	1523
420	3357	1515
421	3364	1506
422	3373	1499
423	3383	1492
424	3391	1484
425	3399	1476
426	3408	1468
427	3418	1461
428	3425	1453
429	3433	1445
430	3442	1437
431	3447	1428
432	3455	1420
433	3463	1412
434	3469	1403
435	3479	1396
436	3487	1388
437	3496	1381
438	3503	1372
439	3511	1364
440	3519	1356
441	3528	1349
442	3536	1341
443	3545	1333
444	3553	1325
445	3562	1317
446	3571	1310
